"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Congo, Dem. Rep.","COD","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.938","","","","","","","8.683","","","","9.03","","","","1.687","","","","","",
"Congo, Rep.","COG","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.039","","","","16.62","","","","","","","","","","","","","","","","",
"Colombia","COL","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","20.402","16.971","","","","16.125","15.404","","13.357","","18.698","","","","","27.589","26.951","25.294","26.304","22.598","","20.8","21.684","22.555","22.681","21.255","20.146","18.77","18.266","17.323","18.272","18.468","19.454","20.658","26.971","24.612","20.976","19.359","19.385","17.5",
"Comoros","COM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.999","","","","","","","","","","19.471","","","","","","","9.797","","","","",
"Cabo Verde","CPV","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.232","","","","","","","","","","","","","","","","","","","25.918","","","","","","61.574","","32.446","27.768","12.9","","","","","","",
"Costa Rica","CRI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.444","14.072","14.667","14.274","15.208","13.936","10.724","11.013","17.91","16.977","21.9","22.354","21.268","23.896","22.024","21.249","20.441","24.891","31.052","40.097","38.796","30.384","24.239","20.673","20.088",
"Caribbean small states","CSS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0134600724696","","","19.6937749472822","","","","","","",
"Cuba","CUB","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.51","6.08","","7.019","","","","","","","","","","","","","",
"Curacao","CUW","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.721","","37.179","33.158","29.723","","","29.3","","42.2","","","","","",
"Cayman Islands","CYM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.783","10.317","11.13","13.458","","","21.119","21.255","24.255","18.634","13.79","","","","","","","","","","",
"Cyprus","CYP","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.697","","","","","","","10.119","9.224","8.348","7.906","9.057","10.821","14.6","10.436","10.288","9.147","14.044","16.733","22.412","28.207","39.124","36.032","32.9","29.129","25.068","20.632","16.873","18.533","17.138","18.61","16.565","12.984","",
"Czechia","CZE","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.635","","8.425","8.715","7.878","7.152","8.395","12.427","17.018","16.98","16.56","15.992","17.57","20.392","19.271","17.467","10.739","9.873","16.644","18.337","18.077","19.513","18.97","15.856","12.597","10.506","7.949","6.729","5.627","7.955","8.151","6.745","8.502","8.653","",
"Germany","DEU","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","10.617","10.322","9.8","7.836","7.482","6.816","5.527","4.576","5.513","5.97","7.673","8.962","8.467","9.635","10.671","9.79","8.884","8.546","7.788","9.29","11.034","12.995","15.461","13.4","11.815","10.925","11.311","10.435","8.943","8.129","7.832","7.618","7.341","7.093","6.786","6.234","5.869","7.864","6.586","5.989","5.969","6.91","",
"Djibouti","DJI","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.042","","","","","","","","",
"Dominica","DMA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","40.508","","34.235","","25.84","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","18.87","13.96","11.522","8.137","8.93","8.541","11.498","11.526","11.502","12.337","14.608","10.179","9.923","10.586","8.093","7.172","9.951","6.724","8.251","7.074","9.828","7.787","8.614","7.682","7.524","9.516","13.475","15.596","16.352","15.814","14.808","14.231","12.175","12.175","12.409","10.544","10.058","11.656","10.833","10.573","11.517","14.594","",
"Dominican Republic","DOM","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.541","13.689","12.864","13.619","13.052","13.659","10.872","12.49","10.595","12.548","10.826","13.908","14.931","17.414","13.425","16.52","16.749","13.491","14.982","16","14.916","17.029","13.056","11.847","13.231","12.662",
"Algeria","DZA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.759","","","","31.076","24.299","27.413","23.805","21.259","21.544","22.433","27.538","24.802","25.237","29.839","25.716","29.016","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7181125853568","","","","","","","","","","","","","","","","","","10.5356661771373","10.6707816840185","12.5239235502047","12.7989803688435","","","","",
"Early-demographic dividend","EAR","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7542919147361","","","","","14.3121347213877","","","","","12.4480023673401","","13.3594068152834","","","","","","21.0605439841457","18.9626419996289","21.0240690135989","17.7293213318532","16.6868020336984","14.7650530419005","15.26862811022","",
"East Asia & Pacific","EAS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.595003487268","","","","","","","","","","","","","","","","","","10.277978510596","10.4068443925756","12.1890791327496","12.3324851991329","","","","",
"Europe & Central Asia (excluding high income)","ECA","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2426379488445","19.4212136046877","","","","21.4533236257314","20.6474389225739","19.3856322088019","19.0018123327434","19.324048370227","22.0298566491053","19.9848325242521","21.4216270125777","19.164093395243","20.091610073036","22.1600916721121","19.9133853662215","21.2011518367816","","","","",
"Europe & Central Asia","ECS","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3679880047786","18.7619870079896","19.5949400313593","19.5126105397943","19.3688461140452","19.9629803174564","18.5250599482147","17.1257943479042","16.8595747835848","20.6730391694552","20.8846408000518","20.7341088586155","21.6505035466413","22.0401290776073","22.0563588440059","20.9046085332384","20.3224705580474","18.5160756759671","17.7841112458639","17.3949582206522","18.4833960641533","18.3708781414177","15.644968689543","15.1447114370243","14.830605172066","",
"Ecuador","ECU","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.049","18.916","23.509","","9.743","8.394","","10.907","10.348","7.96","8.008","7.145","9.275","9.921","9.422","9.129","8.812","8.083","8.598","8.406","9.945","8.194","7.653","8.515","11.038","8.958","8.173","7.652","8.382","7.761",
"Egypt, Arab Rep.","EGY","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.114","20.377","","27.7","27.102","","","34.084","29.868","24.796","25.036","24.783","24.307","29.3","34.431","34.109","32.235","31.559","30.88","29.605","24.807","19.256","17.436","17.619","18.871","16.912","15.254","",
